review_id,AR,AT,CS,GS,HH,LV,MH,NQ,OA,PE,RC,RE,RP,SR,VP,satisfaction_score
67,0,0,0,0,0,0,0,1.955331326,0,0,0,0,0,0,0.97838974,0.6
68,0,0,0,0,0.9847399,0,0,1.859865308,0,0,0,0,0,0,0,0.883333333
69,0,0,0,0,0,0,0,0.04189837,0,0,0,0,0,0,0,0.24
70,0,0,0,0,0,0,0,1.845787287,0,0,0,0,0,0,0,0.715
71,0,0,0,0,0,0,0,0.139980674,-0.554619789,0,0.369818687,0,0,0,0,0.513333333
72,0,0,0,0,0,0,0,1.186080694,0,0,0,0,0,0,1.91403091,0.396
73,0,0,0,0,0,0,0,1.775731325,0,0,0,0,0,0,1.909016371,0.86
74,0,0,0,0,0,0,0,1.894547522,0,0,0,0,0,0,0,0.46
75,0,0,0,0,0,0,0,0.157707751,0,0,0,0,0,0,1.776669264,0.178
76,0,0,0,0,0,0,0,1.860131681,0,0,0.955247581,0,0,0,0.690852463,0.462
77,0,0,0,0,0,0,0,1.766859829,0,0,0,0,0,0,0.93460393,0.703333333
78,0,0,0,0,0,0,0,3.739577949,0,0,0,0,0,0,0,0.5575
79,0,0,0,0,0,0,0,1.861655593,0,0,0,0,0,0,0.874299288,0.723333333
80,0,0,0,0,0,0,0,0.923995018,0,0,0,0,0,0,0.474436909,0.275
81,0,0,0,0,0,0,0,1.926671326,0,0,0.95706588,0,0,0,0.847304642,0.496
82,0,0,0,0,0,0,0,0.157522455,0,0,0,0,0,0,0.280409992,0.3425
83,0,0,0,0,0,0,0,3.753812194,0,0,0.974547327,0,0,0,0,0.54
84,0,0,0,0,0,0,0,1.385183275,0,0,0,0,0,0,0,0.53
85,0,0,0,0,0,0,0,3.532721102,0,0,0,0,0,0,0,0.33
86,0,0,0,0,0,0,0,1.932693601,0,0,0,0,0,0,0,0.72
87,0,0,0,0,0,0,0,1.930591166,0.982956529,0,0,0,0,0,0,0.46
88,0,0,0,0,0,0,0,2.851485014,0,0,0,0,0,0,0.96104759,0.482
89,0,0,0,0,0,0,0,1.683963358,0.966689348,0,0,0,0,0,0.966613218,0.211428571
90,0,0,0,0,0,0,0,4.609996319,0.90232867,0,0,0,0,0,1.856206894,0.352
91,0,0,0,0,0,0,0,0.968454421,0,0,0,0,0,0,0.972552717,0.8225
92,0,0,0,0,0,0,0,0,0,0,0.935063243,0,0,0,0,0.91
93,0,0,0,0,0,0,0,1.554922938,0,0,0,0,0,0,0.476868063,0.4175
94,0,0,0,0,0,0,0,1.903926075,0,0,0,0,0,0,0.686636209,0.546666667
95,0,0,0,0,0,0,0,2.47182864,0,0,0,0,0,0,0,0.3025
96,0,0,0,0,0,0,0,0.976433396,0,0,0,0,0,0,0.911390722,0.202
97,0,0,0,0,0,0,0,2.48571986,0,0,0,0,0,0,0.980454028,0.53
98,0,0,0,0,0,0,0,1.958251595,0,0,0,0,0,0,0.985476792,0.536666667
99,0,0,0,0,0,0,0,0.966801941,0,0,0.981452286,0,0,0,0,0.925
100,0,0,0,0,0,0,0,0.971038759,0,0,0,0.972881556,0,0,1.617878199,0.54
101,0,0,0,0,0,0,0,0.973897576,0,0,0,0,0,0,0,0.72
102,0,0,0,0,0,0,0,1.959113024,0,0,0,-0.442074299,0,0.042688627,-0.129264861,0.215454545
103,0,0,0,0,0,0,0,1.929507911,0,0,0,0,0,0,0.979692578,0.773333333
104,0,0,0,0,0,0,0,0.948550165,0,0,0,0,0,0,1.389011204,0.57
105,0,0,0,0,0,0,0,1.359008245,0,0,0.972070396,0,0,0,1.17729108,0.325
106,0,0,0,0,0,0,0,0.511086226,0,0,0,0,0,0,0,0.395
107,0,0,0,0,0,0,0,1.864046693,0,0,0,0,0,0,0.238192171,0.3475
108,0,0,0,0,0,0,0,1.618651032,0,0,0,0,0,0,0.758171976,0.5
109,0,0,0,0,0,0,0,1.944613874,0,0,0,0,0,0,0,0.736666667
110,0,0,0,0,0,0,0,0.985837638,0,0,0,0,0,0,0.218747765,0.47
111,0,0,0,0,0,0,0,2.401794624,0,0,0,0,0,0,0,0.198333333
112,0,0,0,0,0,0,0,0.447880924,0,0,0,0,0,0,0,0.193333333
113,0,0,0,0,0,0,0,1.928439438,0,0,0,0,0,0,0,0.775
114,0,0,0,0,0,0,0,0.584972113,0,0,0,0,0,0,0,0.47
115,0,0,0,0,0,0,0,0.971566916,0,0,0,0,0,0,1.924523234,0.496666667
116,0,0.241875589,0,0,0,0,0,0.923198581,0,0,0,0,0,0,-0.001556635,0.264285714
117,0,0,0,0,0,0,0,2.797730852,0,0,-0.041200683,0,0,0,0.910939753,0.392
118,0,0,0,0,0,0,0,2.578774929,0,0,0,0,0,0,0.958155513,0.67
119,0,0,0,0,0,0,0,4.402998686,0,0,0,0,0,0,0,0.454
120,0,0.429970115,0,0,0.91070956,0,0,0.97072196,0,0,0,0,0,0,0.968098938,0.5625
121,0,0,0,0,0,0,0,4.691961408,0,0,0,0,0,0,0,0.504
122,0,0,0,0,0,0,0,1.617909968,0,0,0,0,0,0,0,0.215
123,0,0,0,0,0,0,0,3.513721347,0,0,0,0,0,0.973404109,0.916828692,0.648333333
124,0,0,0,0,0,0,0,3.914664805,0,0,0,0,0,0,0.968123317,0.834
125,0,0,0,0,0,0,0,2.268802524,0,0,0,0,0,0,0,0.41
126,0,0,0,0,0,0,0,1.092500746,0,0,0,0,0,0,0,0.4125
127,0,0,0,0,0,0,0,0.569943309,0,0,0,0,0,0,0.974201798,0.423333333
128,0,0,0,0,0,0,0,0.97556901,0,0,1.50949055,0,0,0,0.299880981,0.56
129,0,0,0,0,0,0,0,0,0,0,0.066504687,0,0,0,1.238096118,0.553333333
130,0,0,0,0,0,0,0,3.086969003,0,0,0,0,0,0.936679542,0.890857458,0.366666667
131,0,0,0,0,0,0,0,0,0,0,0,0,0.98608315,0,0,0.94
132,0,0,0,0,0,0,0,1.848318815,0,0,0,0,0,0,0,0.453333333
133,0,0,0,0,0,0,0,2.816432297,0,0,0,0,0,0,0,0.526666667
134,0,0,0,0,0,0,0,0.981137097,0,0,0,0,0,0,0.681195319,0.235
135,0,0,0,0,0,0,0,0.965722919,0,0,0,0,0,0,0,0.71
136,0,0,0,0,0,0,0,0.880070448,0,0,0,0,0,0,-0.003089637,0.485
137,0,0,0,0,0,0,0,2.010392815,0,0,0,0,0,0,0.229350641,0.388
138,0,0,0,0,0.960704029,0,0,-0.014880612,0,0,0,0,0,0,0.036678031,0.046666667
139,0,0,0,0,0,0,0,1.879781887,0,0,0,0,0,0,0,0.49
140,0,0,0,0,0,0,0,1.75736469,0,0,0,0,0,0,1.576336563,0.18
141,0,0,0,0,0,0,0,1.945132673,0,0,1.936307251,0,0,0,3.504423663,0.622727273
142,0,0,0,0,0,0,0,1.366242677,0,0,0,0,0,0,0.743757546,0.37
143,0,0,0,0,0,0,0,0.876101851,0,0,0,0,0,0,1.736446381,0.216666667
144,0,0,0,0,0,0,0,3.868383884,0,0,0,0,0,0,0,0.8325
145,0,0,0,0,0,0,0,2.855787635,0,0,0,0,0,0,0.967363536,0.635
146,0,0,0,0,0,0,0,3.656581044,0,0,0,0,0,0,0,0.77
147,0,0,0,0,0,0,0,3.872734845,0,0,0,0,0,0,0,0.7375
148,0,0.119527638,0,0,0,0,0,1.596740186,0,0,0.983707726,0,0,0,0,0.42
149,0,0,0,0,0,0,0,2.042211682,0,0,0.968519568,0,0,0,0.965883452,0.232857143
150,0,0,0,0,0,0,0,0.968866408,0,0,0,0,0,0,0,0.68
152,0,0,0,0,0,0,0,2.726567566,0,0,0,0,0,0,1.773006856,0.306
153,0,0,0,0,0,0,0,7.183595479,0,0,0,0,0,0,0,0.60125
154,0,0,0,0,0,0,0,2.727190316,0,0,0,0,0,0,0,0.34
155,0,0,0,0,0,0,0,0.975861311,0,0,0,0,0,0,1.425223172,0.42
156,0,0,0,0,0,0,0,3.746836782,0,0,0,0,0,0,0,0.6525
157,0,0,0,0,0,0,0,4.698710918,0,0,0,0,0,0,0,0.73
158,0,0,0,0,0,0,0,4.842359662,0,0,0,0,0,0,0,0.528
159,0,0,0,0,0,0,0,0,0,0,0.977485478,0,0,0,0.952344537,0.786666667
160,0,0.735252261,0,0,0,0,0,0.695466697,0,0,0,0,0,0,0,0.18
161,0,0,0,0,0.971865237,0,0,3.672681451,0,0,0,0,0,0.595380425,3.369901359,0.663636364
162,0,0,0,0,0,0,0,3.853908122,0,0,0.978764594,0,0,0,0.9757182,0.775
163,0,0,0,0,0,0,0,1.943929136,0,0,0,0,0,0,0,0.68
164,0,0,0,0,0,0,0,2.890223265,0,0,0,0,0,0,1.954778433,0.828
165,0,0,0,0,0,0,0,1.820687175,0,0,0,0,0,0,0.30895555,0.405
166,0,0,0,0,0,0,0,0.947985582,0,0,0,0,0,0,0,0.2
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976998448,0.735
168,0,0,0,0,0,0,0,0.983651221,0,0,0,0,0,0,0.259894609,0.48
169,0,0,0,0,0,0,0,0.978122652,0,0,0.86567837,0,0,0,0.848823309,0.723333333
170,0,0,0,0,0,0,0,0.370248735,0,0,0,0,0,0,0.976238728,0.24
171,0,0,0,0,0,0,0,0.915732145,0,0,0,0,0,0,0,0.76
172,0,0,0,0,0,0,0,0.874862015,0,0,0,0,0,0,0,0.87
173,0,0,0,0,0,0,0,0.913954675,0,0,0,0,0,0,0.795918643,0.575
174,0,0,0,0,0,0,0,1.239295036,0,0,0,0,0,0,-0.73849076,0.073333333
175,0,0,0,0,0,0,0,0.957428038,0,0,0,0,0,0,0,0.38
176,0,0,0,0,0,0,0,2.3236067,0,0,0,0,0,0,0,0.466666667
177,0,0,0,0,0,0,0,0.973858953,0,0,0,0,0,0,0,0.65
178,0,0,0,0,0,0,0,1.915229797,0,0,0,0,0,0,0.95512408,0.7575
179,0,0,0,0,0.951016188,0,0,0.391882524,0,0,0,0,0,0,2.418220222,0.461428571
180,0,0,0,0,0,0,0,0.598084569,0,0,0,0,0,0,0,0.75
181,0,0,0,0,0,0,0,0.964029491,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978708327,0.25
183,0,0,0,0,0.962673008,0,0,0,0,0,0,0,0.93537128,0,0,0.86
184,0,0,0,0,0.979150236,0,0,0.975549996,0,0,0.973008692,0,0,0,0,0.836666667
185,0,0,0,0,0,0,0,1.896545231,0,0,0,0,0,0,0.965346873,0.693333333
186,0,0,0,0,0,0,0,0.95827198,0,0,0,0,0,0,0,0.82
187,0,0,0,0,0,0,0,0.915287673,0,0,0,0,0,0,0,0.69
188,0,0,0,0,0,0,0,0.933181643,0.796924829,0,0,0,0,0,0,0.34
189,0,0,0,0,0,0,0,0.984936595,0,0,0,0,0,0,0,0.95
190,0,0,0,0,0,0,0,0.382209182,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,1.920678675,0,0,0,0,0.36284855,0,0,0.145
192,0,0,0,0,0.98046124,0,0,0.964588881,0,0,0,0,0,0,1.167526424,0.598
193,0,0,0,0,0,0,0,1.455061518,0,0,0.975451529,0,0,0,0,0.332
194,0,0,0,0,0,0,0,0.729614746,0,0,0,0,0,0,0,0.193333333
195,0,0,0,0,0,0,0,0.96795547,0,0,0,0,0,0,0.319731355,0.33
197,0,0,0,0,0,0,0,0,0,0,0.983140469,0,0,0,0,0.94
198,0,0,0,0,0,0,0,0,0,0,0.521715522,0,0,0,0,0.93
199,0,-0.220487207,0,0,0,0,0,0.957263947,0,0,0,0,0,0,0,0.22
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973097146,0.84
201,0,0.073192284,0,0,0,0,0,0.79604286,0,0,0,0,0,0,0,0.245
202,0,0,0,0,0,0,0,0.963984013,0,0,0,0,0,0,0,0.68
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986050963,0.87
204,0,0,0,0,0,0,0,0.971302509,0,0,0,0,0,0,0,0.72
205,0,0,0,0,0,0,0,0,0,0,0.969103336,0,0,0,0,0.92
206,0,0,0,0,0,0,0,0.8314116,0,0,0,0,0,0,0,0.725
207,0,0,0,0,0,0,0,0.923152566,0,0,0,0,0,0,0.650725722,0.395
209,0,0,0,0,0,0,0,0.983493805,0,0,0,0,0,0,0,0.72
210,0,0,0,0,0,0,0,-0.273858249,0,0,0,0,0,0,0,0.13
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445909709,0.6
212,0,0,0,0,0,0,0,0.852801323,0,0,0,0,0,0,0,0.58
213,0,0,0,0,0,0,0,0.965565264,0,0,0,0,0,0,0.148315132,0.42
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.117606476,0.26
216,0,0,0,0,0,0,0,0.10434939,0,0,0,0,0,0,0.984319031,0.435
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940610528,0.87
220,0,0,0,0,0,0,0,0.887379229,0,0,0,0,0,0,0,0.58
221,0,0,0,0,0,0,0,0.980436265,0,0,0,0,0,0,0,0.69
222,0,0,0,0,0,0,0,-0.846072793,0,0,0,0,0,0,0,-0.04
223,0,0,0,0,0,0,0,0.944571018,0,0,0,0,0,0,1.917346179,0.39
225,0,0,0,0,0,0,0,0.586747408,0,0,0,0,0,0,0,0
